pixel_no    pixel_x pixel_y latitude    longitude   SPM_mean_mean  SPM_mean_sigma
1	342.0	458.0	-14.062502962067011	-76.56249237060547	0.6178957	0.0	
2	342.0	459.0	-14.104169629301342	-76.56249237060547	0.5956946	0.0	
3	342.0	460.0	-14.145836296535673	-76.56249237060547	0.6762764	0.0	
4	342.0	461.0	-14.187502963770001	-76.56249237060547	0.6651948	0.0	
5	342.0	462.0	-14.229169631004332	-76.56249237060547	0.6633193	0.0	
6	342.0	463.0	-14.270836298238663	-76.56249237060547	0.73323417	0.0	
7	342.0	464.0	-14.31250296547299	-76.56249237060547	0.7361516	0.0	
8	342.0	465.0	-14.354169632707322	-76.56249237060547	0.6406647	0.0	
9	342.0	466.0	-14.395836299941653	-76.56249237060547	0.7743571	0.0	
10	342.0	467.0	-14.43750296717598	-76.56249237060547	0.589786	0.0	
11	342.0	468.0	-14.479169634410312	-76.56249237060547	0.57755345	0.0	
12	342.0	469.0	-14.520836301644643	-76.56249237060547	0.5779979	0.0	
13	342.0	470.0	-14.56250296887897	-76.56249237060547	0.59348947	0.0	
14	342.0	471.0	-14.604169636113301	-76.56249237060547	0.60100293	0.0	
15	342.0	472.0	-14.645836303347632	-76.56249237060547	0.61086166	0.0	
16	342.0	473.0	-14.68750297058196	-76.56249237060547	0.66581404	0.0	
17	342.0	474.0	-14.729169637816291	-76.56249237060547	0.7137256	0.0	
18	342.0	475.0	-14.770836305050622	-76.56249237060547	0.59834427	0.0	
19	342.0	476.0	-14.812502972284953	-76.56249237060547	0.55441666	0.0	
20	342.0	477.0	-14.85416963951928	-76.56249237060547	0.5491738	0.0	
21	342.0	478.0	-14.895836306753612	-76.56249237060547	0.553398	0.0	
22	342.0	479.0	-14.937502973987943	-76.56249237060547	0.57443297	0.0	
23	342.0	480.0	-14.97916964122227	-76.56249237060547	0.5406451	0.0	
24	342.0	481.0	-15.020836308456602	-76.56249237060547	0.5857841	0.0	
25	342.0	482.0	-15.062502975690933	-76.56249237060547	0.61766154	0.0	
26	341.0	483.0	-15.10416964292526	-76.60415903727213	0.58642465	0.0	
27	341.0	484.0	-15.145836310159591	-76.60415903727213	0.55093205	0.0	
28	341.0	485.0	-15.187502977393923	-76.60415903727213	0.52836496	0.0	
29	341.0	486.0	-15.22916964462825	-76.60415903727213	0.5129933	0.0	
30	341.0	487.0	-15.270836311862581	-76.60415903727213	0.5247359	0.0	
31	341.0	488.0	-15.312502979096912	-76.60415903727213	0.5327641	0.0	
32	341.0	489.0	-15.35416964633124	-76.60415903727213	0.5196366	0.0	
33	341.0	490.0	-15.395836313565571	-76.60415903727213	0.51771307	0.0	
34	341.0	491.0	-15.437502980799902	-76.60415903727213	0.49532524	0.0	
35	341.0	492.0	-15.47916964803423	-76.60415903727213	0.55312765	0.0	
36	341.0	493.0	-15.52083631526856	-76.60415903727213	0.62669796	0.0	
37	341.0	494.0	-15.562502982502892	-76.60415903727213	0.56842846	0.0	
38	341.0	495.0	-15.60416964973722	-76.60415903727213	0.6088436	0.0	
39	341.0	496.0	-15.64583631697155	-76.60415903727213	0.5523644	0.0	
40	341.0	497.0	-15.687502984205882	-76.60415903727213	0.5510261	0.0	
41	341.0	498.0	-15.729169651440209	-76.60415903727213	0.57150674	0.0	
42	341.0	499.0	-15.77083631867454	-76.60415903727213	0.60929054	0.0	
43	341.0	500.0	-15.812502985908871	-76.60415903727213	0.62782925	0.0	
44	341.0	501.0	-15.854169653143199	-76.60415903727213	0.579105	0.0	
45	341.0	502.0	-15.89583632037753	-76.60415903727213	0.5491045	0.0	
46	341.0	503.0	-15.937502987611861	-76.60415903727213	0.55079293	0.0	
47	341.0	504.0	-15.979169654846189	-76.60415903727213	0.55573213	0.0	
48	341.0	505.0	-16.02083632208052	-76.60415903727213	0.5767258	0.0	
49	341.0	506.0	-16.06250298931485	-76.60415903727213	0.5126626	0.0	
50	341.0	507.0	-16.10416965654918	-76.60415903727213	0.48781207	0.0	
